,Stock,%prof,avgTrade%,nTrades,avgDays,openSeshs,numOpen,Industry,Sector,MarketCap,Price,realAvg,ntFact,Score
137,SSTK,73.33,7.17,30,51.4,88,0,Internet Content & Information,Communication Services,1.556,43.78,0.053,0.584,3.07
138,ASAN,100.0,24.52,3,24.33,290,0,Software - Application,Technology,3.352,14.91,0.245,0.123,3.02
139,BWMN,66.67,23.81,6,31.5,97,0,Engineering & Construction,Industrials,0.495,32.24,0.159,0.19,3.02
140,ACLS,66.67,9.46,27,56.44,1177,0,Semiconductor Equipment & Materials,Technology,3.414,104.72,0.063,0.478,3.02
141,SPTN,78.95,5.35,38,53.29,157,0,Food Distribution,Consumer Defensive,0.654,18.98,0.042,0.713,3.01
142,CSGS,77.78,7.75,27,55.0,1395,0,Software - Infrastructure,Technology,1.472,49.42,0.06,0.491,2.96
143,MGPI,61.9,4.23,63,55.98,66,0,Beverages - Wineries & Distilleries,Consumer Defensive,1.764,79.96,0.026,1.125,2.95
144,GRPN,66.67,8.28,24,45.38,215,0,Internet Content & Information,Communication Services,0.434,11.14,0.055,0.529,2.92
145,BEAM,100.0,22.62,6,46.5,94,0,Biotechnology,Healthcare,2.353,28.81,0.226,0.129,2.92
146,ADNT,66.67,22.22,12,61.25,971,0,Auto Parts,Consumer Cyclical,2.839,31.11,0.148,0.196,2.9
147,WBA,69.77,4.86,43,51.51,78,0,Pharmaceutical Retailers,Healthcare,16.523,19.16,0.034,0.835,2.83
148,VIAV,63.64,5.89,33,44.39,78,0,Communication Equipment,Technology,1.952,8.77,0.037,0.743,2.79
149,PZZA,62.07,6.47,29,42.28,77,0,Restaurants,Consumer Cyclical,2.108,63.98,0.04,0.686,2.75
150,UNP,75.76,5.19,33,47.91,620,0,Railroads,Industrials,146.6,240.29,0.039,0.689,2.71
151,DNTH,66.67,17.82,12,54.75,438,0,Biotechnology,Healthcare,0.692,23.58,0.119,0.219,2.6
152,ON,56.67,8.87,30,58.87,982,0,Semiconductors,Technology,29.552,68.75,0.05,0.51,2.56
153,JOBY,100.0,33.23,3,39.0,503,0,Airports & Air Services,Industrials,3.451,4.91,0.332,0.077,2.56
154,BA,64.71,4.22,51,54.59,97,0,Aerospace & Defense,Industrials,111.325,181.56,0.027,0.934,2.55
155,HTLD,70.0,5.41,30,44.6,474,0,Trucking,Industrials,0.874,11.06,0.038,0.673,2.55
156,TDOC,66.67,14.29,12,45.25,77,0,Health Information Services,Healthcare,2.442,14.62,0.095,0.265,2.53
157,JNJ,66.67,4.07,39,42.51,247,0,Drug Manufacturers - General,Healthcare,365.299,151.59,0.027,0.917,2.49
158,ATRC,71.43,8.8,21,53.71,341,0,Medical Instruments & Supplies,Healthcare,1.263,26.54,0.063,0.391,2.46
159,UHT,66.67,6.8,21,38.86,78,0,REIT - Healthcare Facilities,Real Estate,0.471,34.08,0.045,0.54,2.45
160,IONQ,100.0,48.78,3,60.0,412,0,Computer Hardware,Technology,1.743,8.37,0.488,0.05,2.44
161,FIVE,83.33,8.72,12,37.5,102,0,Specialty Retail,Consumer Cyclical,8.856,160.33,0.073,0.32,2.33
162,SPCE,60.0,10.26,15,39.8,86,0,Aerospace & Defense,Industrials,0.472,1.18,0.062,0.377,2.32
163,PDCO,75.0,5.2,28,47.14,341,0,Medical Distribution,Healthcare,2.347,26.2,0.039,0.594,2.32
164,ARCT,58.33,17.71,12,55.0,81,0,Biotechnology,Healthcare,0.832,30.93,0.103,0.218,2.25
165,JBT,66.67,8.76,18,47.33,962,0,Specialty Industrial Machinery,Industrials,3.017,94.77,0.058,0.38,2.22
166,SAFT,100.0,8.34,9,33.78,1343,0,Insurance - Property & Casualty,Financial Services,1.155,78.07,0.083,0.266,2.22
167,UNH,61.11,11.72,18,58.67,3937,0,Healthcare Plans,Healthcare,420.402,456.0,0.072,0.307,2.2
168,CABO,100.0,6.18,12,33.75,240,0,Telecom Services,Communication Services,2.253,400.91,0.062,0.356,2.2
169,SCHL,76.92,4.04,39,55.0,831,0,Publishing,Communication Services,1.034,36.14,0.031,0.709,2.2
170,IAUX,100.0,15.93,3,22.0,408,0,Gold,Basic Materials,0.379,1.21,0.159,0.136,2.17
171,GSHD,100.0,45.11,3,64.0,413,0,Insurance - Diversified,Financial Services,2.278,60.03,0.451,0.047,2.11
172,EYPT,62.5,6.26,32,60.38,294,0,Biotechnology,Healthcare,1.033,20.73,0.039,0.53,2.07
173,VCYT,77.78,11.23,9,38.33,85,0,Biotechnology,Healthcare,1.553,20.69,0.087,0.235,2.05
174,ELF,50.0,37.05,6,55.17,974,0,Household & Personal Products,Consumer Defensive,9.195,165.66,0.185,0.109,2.01
175,RGEN,62.5,6.87,24,51.62,1567,0,Medical Instruments & Supplies,Healthcare,9.719,174.05,0.043,0.465,2.0
176,TXG,100.0,25.84,3,39.0,81,0,Health Information Services,Healthcare,4.35,36.5,0.258,0.077,1.99
177,GME,77.78,4.78,27,50.33,67,0,Specialty Retail,Consumer Cyclical,3.313,10.83,0.037,0.536,1.99
178,LUMN,81.82,2.56,44,47.55,186,0,Telecom Services,Communication Services,1.392,1.37,0.021,0.925,1.94
179,CALX,66.67,13.18,12,55.0,1622,0,Software - Application,Technology,2.079,31.79,0.088,0.218,1.92
180,SAGE,77.78,7.66,18,57.06,65,0,Biotechnology,Healthcare,0.998,16.6,0.06,0.315,1.88
181,LSXMA,75.0,12.25,12,59.0,116,0,Broadcasting,Communication Services,8.709,26.67,0.092,0.203,1.87
182,PMO,69.44,3.36,36,45.0,99,0,Asset Management,Financial Services,0.323,9.9,0.023,0.8,1.87
183,SWTX,66.67,39.14,3,42.0,424,0,Biotechnology,Healthcare,3.251,44.06,0.261,0.071,1.86
184,CSX,63.64,4.17,33,47.45,350,0,Railroads,Industrials,70.571,36.05,0.027,0.695,1.85
185,LSXMK,75.0,12.08,12,58.75,116,0,Broadcasting,Communication Services,8.697,26.65,0.091,0.204,1.85
186,SYNA,63.64,4.43,33,50.45,180,0,Semiconductors,Technology,3.655,93.0,0.028,0.654,1.84
187,BBIO,50.0,22.95,6,37.67,497,0,Biotechnology,Healthcare,5.214,28.27,0.115,0.159,1.83
188,INGR,66.67,6.07,21,47.19,986,0,Packaged Foods,Consumer Defensive,7.431,113.27,0.04,0.445,1.8
189,ESTC,100.0,11.53,6,38.5,295,0,Software - Application,Technology,9.91,98.31,0.115,0.156,1.8
190,RL,66.67,3.68,33,45.94,962,0,Apparel Manufacturing,Consumer Cyclical,10.91,170.66,0.025,0.718,1.76
191,CHY,75.0,4.01,24,41.58,202,0,Asset Management,Financial Services,0.879,11.51,0.03,0.577,1.74
192,MDLZ,91.67,6.75,12,44.0,1591,0,Confectioners,Consumer Defensive,90.931,67.6,0.062,0.273,1.69
193,DSU,59.26,5.09,27,48.78,424,0,Asset Management,Financial Services,0.505,10.83,0.03,0.554,1.67
194,NVRO,70.59,7.18,17,51.59,409,0,Medical Devices,Healthcare,0.477,13.11,0.051,0.33,1.67
195,MCW,100.0,11.28,6,42.5,98,0,Personal Services,Consumer Cyclical,2.193,6.95,0.113,0.141,1.59
196,VRSK,100.0,8.34,6,32.0,421,0,Consulting Services,Industrials,32.461,226.38,0.083,0.188,1.56
197,EVH,50.0,11.12,18,65.11,117,0,Health Information Services,Healthcare,3.474,30.5,0.056,0.276,1.54
198,ACCO,70.83,4.39,24,49.38,331,0,Business Equipment & Supplies,Industrials,0.499,5.26,0.031,0.486,1.51
199,LCID,55.56,14.99,9,50.33,73,0,Auto Manufacturers,Consumer Cyclical,6.07,2.64,0.083,0.179,1.49
200,IDXX,70.59,6.34,17,51.71,416,0,Diagnostics & Research,Healthcare,42.766,514.7,0.045,0.329,1.47
201,CWBC,82.35,4.01,17,39.06,199,0,Banks - Regional,Financial Services,0.162,18.3,0.033,0.435,1.44
202,REPL,50.0,12.05,12,50.5,16,0,Biotechnology,Healthcare,0.437,7.12,0.06,0.238,1.43
203,PTSI,72.73,2.67,33,45.0,983,0,Trucking,Industrials,0.34,15.43,0.019,0.733,1.42
204,BLE,63.41,2.4,41,44.32,98,0,Asset Management,Financial Services,0.513,10.63,0.015,0.925,1.41
205,SBH,70.0,4.59,20,46.05,100,0,Specialty Retail,Consumer Cyclical,1.128,10.75,0.032,0.434,1.4
206,ENSG,66.67,4.55,18,39.67,594,0,Medical Care Facilities,Healthcare,6.745,119.04,0.03,0.454,1.38
207,VMO,76.47,1.42,51,40.59,98,0,Asset Management,Financial Services,0.642,9.52,0.011,1.256,1.36
208,EDIT,50.0,8.53,12,38.0,19,0,Biotechnology,Healthcare,0.55,6.72,0.043,0.316,1.35
209,NTCT,66.67,3.22,27,44.74,67,0,Software - Infrastructure,Technology,1.433,20.18,0.021,0.603,1.3
210,HLF,68.0,3.72,25,49.92,421,0,Packaged Foods,Consumer Defensive,0.807,8.09,0.025,0.501,1.27
211,PRVA,83.33,12.41,6,49.0,281,0,Health Information Services,Healthcare,2.212,18.66,0.103,0.122,1.27
212,GHI,66.67,7.95,12,51.92,918,0,Mortgage Finance,Financial Services,0.359,15.66,0.053,0.231,1.23
213,ABT,77.78,4.46,18,52.0,92,0,Medical Devices,Healthcare,191.772,110.52,0.035,0.346,1.2
214,VCV,66.67,2.21,36,44.42,98,0,Asset Management,Financial Services,0.466,9.73,0.015,0.81,1.19
215,RYN,73.91,3.58,23,51.57,989,0,REIT - Specialty,Real Estate,4.836,32.08,0.026,0.446,1.18
216,EIM,70.97,2.26,31,43.58,98,0,Asset Management,Financial Services,0.721,10.13,0.016,0.711,1.14
217,NEOG,56.67,4.05,30,62.43,83,0,Diagnostics & Research,Healthcare,3.114,14.38,0.023,0.481,1.1
218,AIN,57.78,2.29,45,55.22,981,0,Textile Manufacturing,Consumer Cyclical,2.771,88.72,0.013,0.815,1.08
219,CMCSA,62.5,3.53,24,49.33,342,0,Telecom Services,Communication Services,161.694,40.71,0.022,0.487,1.07
220,SJM,73.91,3.28,23,52.74,79,0,Packaged Foods,Consumer Defensive,12.31,115.94,0.024,0.436,1.06
221,PPT,86.67,3.35,15,41.33,981,0,Asset Management,Financial Services,0.342,3.49,0.029,0.363,1.05
222,CRI,61.11,5.13,18,54.67,432,0,Apparel Retail,Consumer Cyclical,2.808,76.96,0.031,0.329,1.03
223,AGIO,73.33,5.61,15,60.2,217,0,Biotechnology,Healthcare,1.557,27.7,0.041,0.249,1.03
224,VKQ,65.0,1.65,40,42.98,98,0,Asset Management,Financial Services,0.518,9.37,0.011,0.931,1.0
225,FIVN,55.56,12.25,9,62.11,323,0,Software - Infrastructure,Technology,4.377,59.69,0.068,0.145,0.99
226,METC,100.0,13.2,3,46.0,1690,0,Coking Coal,Basic Materials,0.806,15.85,0.132,0.065,0.86
227,DNB,100.0,8.89,4,42.5,179,0,Financial Data & Stock Exchanges,Financial Services,4.217,9.61,0.089,0.094,0.84
228,DOCS,100.0,13.05,3,47.0,97,0,Health Information Services,Healthcare,4.809,25.78,0.13,0.064,0.83
229,BME,83.33,6.01,6,36.5,989,0,Asset Management,Financial Services,0.556,39.86,0.05,0.164,0.82
230,VFC,57.14,1.4,49,51.9,172,0,Apparel Manufacturing,Consumer Cyclical,5.257,13.52,0.008,0.944,0.76
231,TPR,52.94,2.12,34,52.06,86,0,Luxury Goods,Consumer Cyclical,9.895,43.14,0.011,0.653,0.73
232,PBH,45.45,4.18,22,57.0,345,0,Drug Manufacturers - Specialty & Generic,Healthcare,3.407,68.63,0.019,0.386,0.73
233,AMSF,100.0,6.37,3,27.0,1699,0,Insurance - Specialty,Financial Services,0.909,47.53,0.064,0.111,0.71
234,BURL,50.0,6.64,6,29.5,172,0,Apparel Retail,Consumer Cyclical,12.739,199.3,0.033,0.203,0.68
235,BLW,73.91,2.31,23,58.65,342,0,Asset Management,Financial Services,0.495,13.85,0.017,0.392,0.67
236,WH,100.0,13.39,3,61.0,1096,0,Lodging,Consumer Cyclical,5.974,73.74,0.134,0.049,0.66
237,GETY,60.0,20.56,5,93.8,294,0,Internet Content & Information,Communication Services,1.628,4.01,0.123,0.053,0.66
238,MMU,65.62,1.48,32,47.91,96,0,Asset Management,Financial Services,0.553,10.09,0.01,0.668,0.65
239,JJSF,60.0,3.17,15,43.8,6933,0,Packaged Foods,Consumer Defensive,2.702,139.4,0.019,0.342,0.65
240,UPWK,61.11,3.71,18,64.11,99,0,Staffing & Employment Services,Industrials,1.632,11.88,0.023,0.281,0.64
241,MUC,61.54,1.18,39,45.79,97,0,Asset Management,Financial Services,1.042,10.92,0.007,0.852,0.62
242,NMCO,66.67,4.89,9,48.33,86,0,Asset Management,Financial Services,0.566,10.32,0.033,0.186,0.61
243,GFS,100.0,4.42,3,22.0,199,0,Semiconductors,Technology,27.804,50.26,0.044,0.136,0.6
244,VERV,-33.33,-26.97,3,46.0,99,0,Biotechnology,Healthcare,0.702,8.4,0.09,0.065,0.59
245,ABBV,66.67,2.88,9,30.0,175,0,Drug Manufacturers - General,Healthcare,300.656,169.8,0.019,0.3,0.58
246,NVST,55.56,4.8,9,42.89,66,0,Medical Instruments & Supplies,Healthcare,3.486,20.32,0.027,0.21,0.56
247,EPAM,50.0,4.55,6,27.5,177,0,Information Technology Services,Technology,15.613,270.0,0.023,0.218,0.5
